Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP001035,Male,Yes,0,Graduate,No,2229,2067.0,,360.0,1.0,Urban,Y
LP001036,Male,Yes,0,Graduate,No,1695,1330.0,98.0,,0.0,Urban,N
LP001037,Female,Yes,0,Graduate,No,3631,1459.0,135.0,360.0,1.0,Semiurban,Y
LP001038,Male,No,0,Graduate,No,4554,7210.0,190.0,360.0,1.0,Urban,Y
LP001039,Male,No,0,Not Graduate,No,4063,1668.0,115.0,360.0,1.0,Semiurban,Y
LP001040,Male,No,0,Graduate,No,3399,0.0,83.0,360.0,1.0,Urban,N
LP001041,Male,No,0,Graduate,No,2264,1213.0,38.0,360.0,1.0,Urban,Y
LP001042,Male,Yes,0,Graduate,No,2248,0.0,68.0,360.0,,Urban,Y
LP001043,Male,Yes,0,Graduate,No,4108,2336.0,140.0,360.0,1.0,Semiurban,Y
LP001044,Male,Yes,0,Not Graduate,Yes,4602,0.0,86.0,,1.0,Urban,Y
LP001045,Female,No,0,Graduate,No,3067,0.0,92.0,,1.0,Urban,Y
LP001046,Male,Yes,1,Graduate,No,5201,0.0,54.0,360.0,1.0,Urban,Y
LP001047,Male,Yes,0,Graduate,No,6121,0.0,151.0,360.0,1.0,Urban,Y
LP001048,Female,Yes,0,Graduate,No,2443,3440.0,112.0,360.0,0.0,Urban,N
LP001049,Female,No,0,Graduate,No,3814,2275.0,139.0,360.0,1.0,Semiurban,Y
LP001050,Female,Yes,0,Not Graduate,No,2002,1644.0,108.0,360.0,1.0,Semiurban,Y
LP001051,Female,No,0,Graduate,No,2727,0.0,112.0,360.0,1.0,Semiurban,Y
LP001052,Female,No,0,Graduate,No,4586,0.0,118.0,360.0,1.0,Semiurban,N
LP001053,Male,Yes,2,Graduate,No,4422,0.0,143.0,360.0,1.0,Urban,N
LP001054,Female,Yes,1,Graduate,Yes,11152,0.0,296.0,360.0,0.0,Urban,N
LP001055,Male,Yes,2,Graduate,No,2770,1167.0,105.0,360.0,1.0,Semiurban,Y
LP001056,Male,Yes,0,Graduate,No,2119,1591.0,86.0,360.0,1.0,Semiurban,Y
LP001057,Male,Yes,0,Graduate,No,3158,2200.0,144.0,360.0,1.0,Rural,N
LP001058,Male,Yes,1,Graduate,No,8326,2250.0,180.0,360.0,1.0,Urban,Y
LP001059,Male,Yes,2,Not Graduate,No,2959,2859.0,141.0,360.0,1.0,Urban,Y
LP001060,Male,Yes,0,Graduate,No,2502,3796.0,112.0,360.0,1.0,Urban,Y
LP001061,Male,Yes,3+,Graduate,No,3270,0.0,107.0,360.0,1.0,Urban,Y
LP001062,Male,Yes,0,Not Graduate,Yes,3023,3449.0,171.0,180.0,0.0,Rural,N
LP001063,Male,Yes,1,Graduate,No,4481,0.0,,360.0,0.0,Rural,N
LP001064,Female,No,0,Graduate,No,4124,0.0,121.0,360.0,0.0,Semiurban,N
LP001065,Male,Yes,0,Graduate,No,5317,4595.0,265.0,360.0,1.0,Semiurban,N
LP001066,Male,No,0,Not Graduate,No,3462,2254.0,128.0,180.0,0.0,Urban,N
LP001067,Male,Yes,1,Graduate,No,10342,0.0,302.0,360.0,1.0,Urban,Y
LP001068,Male,Yes,3+,Not Graduate,Yes,7373,0.0,123.0,60.0,1.0,Urban,Y
LP001069,Female,No,0,Graduate,No,4039,0.0,127.0,360.0,0.0,Semiurban,N
LP001070,Male,Yes,0,Graduate,No,3344,3066.0,180.0,360.0,1.0,Urban,Y
LP001071,Male,Yes,2,Not Graduate,Yes,1411,1875.0,94.0,360.0,1.0,Semiurban,Y
LP001072,Male,No,0,Graduate,No,3924,0.0,89.0,300.0,1.0,Semiurban,Y
LP001073,Male,Yes,3+,Not Graduate,No,4519,0.0,94.0,,0.0,Semiurban,N
LP001074,Male,Yes,3+,Graduate,Yes,5642,1774.0,177.0,360.0,1.0,Semiurban,Y
LP001075,Male,No,0,Graduate,No,3787,0.0,103.0,480.0,1.0,Urban,N
LP001076,Male,No,0,Graduate,No,3617,4750.0,166.0,360.0,1.0,Urban,N
LP001077,Male,Yes,1,Graduate,Yes,1228,3022.0,104.0,360.0,1.0,Urban,N
LP001078,Male,Yes,3+,Graduate,No,2957,4000.0,189.0,300.0,0.0,Semiurban,N
LP001079,Male,Yes,3+,Not Graduate,Yes,3408,2166.0,129.0,360.0,,Semiurban,Y
LP001080,Female,No,0,Graduate,No,4188,0.0,104.0,360.0,1.0,Semiurban,Y
LP001081,Male,Yes,1,Graduate,Yes,2742,0.0,,360.0,1.0,Semiurban,Y
LP001082,Female,Yes,2,Graduate,No,1770,1881.0,176.0,360.0,1.0,Urban,N
LP001083,Male,Yes,0,Graduate,No,5572,2250.0,267.0,360.0,,Semiurban,N
LP001084,Male,Yes,1,Graduate,No,4463,0.0,60.0,240.0,1.0,Urban,Y
LP001085,Male,No,0,Graduate,No,1927,2531.0,126.0,360.0,1.0,Semiurban,Y
LP001086,Male,Yes,2,Not Graduate,No,2904,2000.0,100.0,360.0,,Semiurban,Y
LP001087,Male,Yes,0,Graduate,No,2950,2118.0,96.0,360.0,1.0,Semiurban,Y
LP001088,Male,No,0,Graduate,No,8224,0.0,212.0,360.0,1.0,Urban,Y
LP001089,Male,Yes,0,Graduate,No,5586,4167.0,172.0,360.0,1.0,Semiurban,Y
LP001090,Male,Yes,0,Graduate,No,3443,2900.0,129.0,360.0,1.0,Semiurban,Y
LP001091,Male,Yes,2,Graduate,No,6724,5654.0,181.0,180.0,1.0,Semiurban,Y
LP001092,Male,Yes,2,Not Graduate,No,3586,1820.0,85.0,360.0,1.0,Urban,Y
LP001093,Male,No,0,Graduate,No,4529,0.0,128.0,360.0,1.0,Semiurban,Y
LP001094,Male,No,0,Not Graduate,No,3406,0.0,15.0,120.0,1.0,Semiurban,Y
LP001095,Male,No,0,Graduate,,6838,0.0,,360.0,,Urban,N
LP001096,Female,Yes,0,Graduate,No,2887,2302.0,139.0,360.0,1.0,Semiurban,Y
LP001097,Male,Yes,0,Graduate,No,2138,997.0,46.0,360.0,1.0,Semiurban,Y
LP001098,Male,Yes,0,Not Graduate,No,4095,0.0,120.0,180.0,1.0,Semiurban,Y
LP001099,Male,Yes,0,Graduate,No,1982,3541.0,138.0,360.0,1.0,Semiurban,Y
LP001100,Male,Yes,2,Not Graduate,No,4498,3263.0,126.0,180.0,1.0,Urban,Y
LP001101,Male,No,0,Graduate,No,4464,3806.0,142.0,360.0,1.0,Semiurban,Y
LP001102,Male,Yes,,Graduate,No,13466,0.0,,360.0,1.0,Urban,Y
LP001103,Male,Yes,0,Graduate,No,4930,3583.0,,360.0,1.0,Semiurban,Y
LP001104,Male,,,Graduate,No,3468,754.0,162.0,360.0,1.0,Urban,Y
LP001105,Male,Yes,1,Graduate,No,2617,1030.0,92.0,360.0,1.0,Urban,Y
LP001106,Male,Yes,2,Graduate,No,11707,1126.0,235.0,360.0,1.0,Urban,Y
LP001107,Male,No,0,Not Graduate,,6899,0.0,128.0,360.0,1.0,Rural,N
LP001108,Male,Yes,2,Graduate,No,4063,3600.0,211.0,360.0,0.0,Urban,N
LP001109,Male,Yes,3+,Not Graduate,No,2271,754.0,100.0,480.0,1.0,Semiurban,Y
LP001110,Male,No,0,Graduate,No,5293,0.0,139.0,360.0,1.0,Urban,Y
LP001111,Female,Yes,0,Graduate,,2962,2333.0,142.0,360.0,1.0,Semiurban,Y
LP001112,Male,Yes,0,Not Graduate,No,3629,4114.0,144.0,,0.0,Rural,N
LP001113,Female,No,1,Graduate,Yes,7553,0.0,,360.0,1.0,Semiurban,Y
LP001114,Male,No,0,Graduate,,5436,0.0,117.0,360.0,1.0,Semiurban,Y
LP001115,Male,Yes,1,Graduate,No,14581,0.0,180.0,180.0,1.0,Rural,Y
LP001116,Female,Yes,0,Graduate,No,3016,2283.0,146.0,360.0,1.0,Semiurban,Y
LP001117,Male,Yes,1,Graduate,No,2102,1398.0,78.0,360.0,,Urban,Y
LP001118,Male,Yes,0,Graduate,No,5793,2142.0,185.0,360.0,1.0,Rural,N
LP001119,Female,No,0,Graduate,No,10492,0.0,259.0,360.0,1.0,Urban,Y
LP001120,Male,Yes,,Graduate,No,5894,2667.0,178.0,360.0,1.0,Rural,Y
LP001121,Female,No,0,Graduate,No,4042,0.0,43.0,360.0,1.0,Semiurban,Y
LP001122,Female,No,0,Graduate,No,1901,8980.0,127.0,360.0,0.0,Semiurban,Y
LP001123,Male,Yes,2,Graduate,No,2674,0.0,72.0,360.0,1.0,Semiurban,Y
LP001124,Male,Yes,0,Not Graduate,No,4185,2014.0,203.0,360.0,1.0,Rural,Y
LP001125,Female,No,0,Graduate,No,3867,0.0,103.0,360.0,,Rural,Y
LP001126,,Yes,3+,Graduate,No,23972,0.0,360.0,360.0,1.0,Rural,Y
LP001127,Male,No,0,Graduate,No,3661,1640.0,,360.0,1.0,Rural,Y
LP001128,Male,Yes,1,Graduate,Yes,10370,3850.0,153.0,180.0,0.0,Urban,N
LP001129,Male,Yes,0,Graduate,No,6157,2569.0,192.0,360.0,,Rural,N
LP001130,Male,No,0,Graduate,Yes,20628,0.0,641.0,480.0,,Urban,Y
LP001131,Male,No,0,Graduate,No,1910,1929.0,73.0,360.0,1.0,Urban,Y
LP001132,Male,No,0,Graduate,No,2713,0.0,79.0,360.0,1.0,Semiurban,Y
LP001133,Male,Yes,0,Graduate,Yes,3053,0.0,16.0,120.0,1.0,Semiurban,Y
LP001134,Male,No,0,Graduate,No,4459,0.0,112.0,360.0,1.0,Semiurban,Y
LP001135,Male,Yes,3+,Graduate,No,3964,7750.0,296.0,360.0,1.0,Semiurban,N
LP001136,Female,Yes,0,Graduate,No,4104,0.0,79.0,360.0,1.0,Rural,N
LP001137,Male,Yes,2,Graduate,Yes,2963,3500.0,94.0,360.0,1.0,Urban,Y
LP001138,Male,No,0,Graduate,No,14606,0.0,247.0,360.0,0.0,Semiurban,N
LP001139,Male,Yes,2,Not Graduate,No,4341,1430.0,125.0,360.0,1.0,Rural,N
LP001140,Male,Yes,2,Graduate,No,4618,2083.0,177.0,360.0,1.0,Rural,N
LP001141,Male,No,0,Graduate,No,5810,0.0,171.0,360.0,1.0,Urban,Y
LP001142,Male,No,0,Graduate,Yes,6767,0.0,185.0,180.0,1.0,Semiurban,Y
LP001143,Male,Yes,0,Graduate,No,3183,2034.0,125.0,360.0,1.0,Semiurban,Y
LP001144,Male,Yes,2,Graduate,No,11955,0.0,194.0,180.0,1.0,Urban,Y
LP001145,Female,Yes,0,Graduate,No,2333,4486.0,100.0,360.0,1.0,Semiurban,Y
LP001146,Female,Yes,2,Graduate,No,14865,0.0,66.0,360.0,1.0,Urban,Y
LP001147,Male,Yes,1,Graduate,No,1114,1425.0,23.0,360.0,1.0,Urban,Y
LP001148,Female,No,0,Graduate,No,9785,1666.0,227.0,360.0,1.0,Rural,N
LP001149,Male,Yes,0,Graduate,No,5139,830.0,125.0,360.0,1.0,Semiurban,Y
LP001150,Male,No,0,Graduate,No,5879,0.0,113.0,360.0,0.0,Rural,N
LP001151,Male,Yes,0,Graduate,Yes,2572,3750.0,162.0,360.0,1.0,Rural,Y
LP001152,Male,No,0,Graduate,No,9641,0.0,254.0,360.0,1.0,Urban,N
LP001153,Male,Yes,2,Not Graduate,No,2612,0.0,113.0,360.0,1.0,Rural,N
LP001154,Male,No,0,Graduate,No,3005,0.0,55.0,360.0,1.0,Urban,Y
LP001155,Male,Yes,3+,Graduate,No,39939,0.0,607.0,180.0,0.0,Semiurban,Y
LP001156,Male,Yes,1,Graduate,No,6250,0.0,161.0,360.0,,Rural,Y
LP001157,Male,Yes,1,Graduate,No,9949,0.0,181.0,360.0,1.0,Urban,Y
LP001158,Male,No,0,Graduate,,3245,2083.0,125.0,360.0,1.0,Rural,Y
LP001159,Male,Yes,0,Graduate,No,4238,5625.0,260.0,360.0,1.0,Semiurban,Y
LP001160,Male,Yes,0,Not Graduate,No,1454,1041.0,98.0,360.0,1.0,Semiurban,Y
LP001161,Male,Yes,0,Graduate,No,7463,0.0,282.0,360.0,1.0,Urban,N
LP001162,Male,Yes,1,Graduate,No,3520,1280.0,118.0,360.0,0.0,Semiurban,N
LP001163,Male,Yes,2,Graduate,No,4118,1447.0,157.0,360.0,1.0,Rural,Y
LP001164,Male,Yes,0,Graduate,No,9095,0.0,77.0,180.0,1.0,Urban,Y
LP001165,Male,Yes,0,Graduate,No,3236,3166.0,180.0,,1.0,Rural,Y
LP001166,Female,Yes,0,Graduate,No,4361,0.0,105.0,360.0,1.0,Rural,N
LP001167,Male,Yes,0,Graduate,No,2248,3333.0,139.0,360.0,1.0,Rural,Y
LP001168,Male,No,0,Graduate,No,2242,0.0,72.0,480.0,0.0,Semiurban,N
LP001169,Male,Yes,2,Graduate,No,7653,0.0,208.0,360.0,1.0,Semiurban,Y
LP001170,Male,Yes,0,Not Graduate,,2056,1769.0,89.0,360.0,1.0,Rural,Y
LP001171,,Yes,3+,Graduate,No,52014,0.0,698.0,300.0,1.0,Urban,Y
LP001172,Male,Yes,3+,Not Graduate,No,3937,0.0,89.0,180.0,1.0,Rural,N
LP001173,Male,Yes,0,Graduate,No,5478,5625.0,188.0,360.0,1.0,Semiurban,Y
LP001174,Male,Yes,0,Not Graduate,Yes,4015,736.0,88.0,360.0,1.0,Semiurban,N
LP001175,Male,Yes,0,Graduate,No,3937,1964.0,121.0,360.0,1.0,Rural,Y
LP001176,Male,Yes,2,Graduate,No,1901,1619.0,104.0,360.0,1.0,Rural,Y
LP001177,Male,Yes,3+,Graduate,No,5711,11300.0,495.0,360.0,0.0,Semiurban,N
LP001178,Male,Yes,1,Graduate,No,3978,0.0,125.0,360.0,1.0,Semiurban,Y
LP001179,Male,No,0,Not Graduate,No,2204,1451.0,100.0,480.0,0.0,Urban,N
LP001180,Male,Yes,1,Graduate,No,6550,7250.0,185.0,360.0,0.0,Urban,N
LP001181,Male,No,0,Graduate,No,2209,5063.0,58.0,360.0,,Rural,N
LP001182,Male,Yes,0,Graduate,No,4788,0.0,67.0,180.0,1.0,Semiurban,Y
LP001183,Male,Yes,1,Graduate,No,34308,0.0,270.0,360.0,1.0,Semiurban,N
LP001184,Female,Yes,0,Graduate,No,3715,0.0,105.0,360.0,1.0,Semiurban,Y
LP001185,Male,Yes,0,Graduate,Yes,38786,4750.0,128.0,360.0,1.0,Semiurban,Y
LP001186,Male,Yes,1,Graduate,Yes,1977,0.0,58.0,300.0,0.0,Rural,N
LP001187,Male,Yes,0,Graduate,No,2362,2138.0,53.0,360.0,,Rural,Y
LP001188,,Yes,0,Graduate,Yes,1009,5296.0,177.0,360.0,1.0,Rural,Y
LP001189,Male,Yes,0,Graduate,No,9799,0.0,191.0,180.0,1.0,Rural,Y
LP001190,Male,No,0,Not Graduate,No,4723,0.0,52.0,360.0,1.0,Rural,Y
LP001191,Male,No,0,Graduate,No,12197,0.0,162.0,360.0,1.0,Semiurban,N
LP001192,Male,Yes,0,Not Graduate,No,5803,0.0,165.0,360.0,1.0,Urban,N
LP001193,Male,No,0,Graduate,No,3741,0.0,77.0,360.0,1.0,Semiurban,Y
LP001194,Male,No,0,Graduate,No,3876,0.0,114.0,360.0,1.0,Rural,Y
LP001195,Male,Yes,1,Graduate,No,2937,2583.0,178.0,360.0,1.0,Semiurban,N
LP001196,Male,No,0,Graduate,No,8448,3750.0,188.0,360.0,1.0,Rural,Y
LP001197,Female,No,0,Not Graduate,No,1625,2365.0,116.0,,1.0,Urban,Y
LP001198,Female,Yes,0,Graduate,No,3440,2816.0,108.0,360.0,,Semiurban,Y
LP001199,Male,No,0,Graduate,Yes,11120,0.0,74.0,360.0,1.0,Urban,N
LP001200,Male,Yes,1,Not Graduate,No,2919,2500.0,98.0,360.0,1.0,Semiurban,Y
LP001201,Male,No,2,Graduate,No,4828,0.0,163.0,360.0,0.0,Semiurban,Y
LP001202,Male,Yes,3+,Not Graduate,No,3630,0.0,,180.0,1.0,Urban,N
LP001203,Male,Yes,1,Not Graduate,No,3816,1083.0,137.0,360.0,1.0,Urban,Y
LP001204,Male,Yes,2,Not Graduate,No,3699,0.0,116.0,360.0,1.0,Semiurban,Y
LP001205,Female,No,0,Not Graduate,No,4410,0.0,123.0,360.0,1.0,Semiurban,Y
LP001206,Female,No,0,Graduate,No,3247,0.0,82.0,360.0,1.0,Urban,Y
LP001207,Male,No,0,Not Graduate,No,3909,2531.0,51.0,360.0,1.0,Rural,Y
LP001208,Male,No,0,Graduate,No,2363,0.0,59.0,360.0,1.0,Urban,Y
LP001209,Male,No,0,Graduate,No,3869,0.0,123.0,360.0,1.0,Semiurban,N
LP001210,Female,No,0,Graduate,No,9849,0.0,209.0,360.0,1.0,Semiurban,N
LP001211,Male,Yes,3+,Graduate,No,3626,1250.0,134.0,360.0,0.0,Semiurban,N
LP001212,Male,Yes,1,Graduate,Yes,7638,0.0,238.0,360.0,1.0,Urban,Y
LP001213,Male,Yes,3+,Not Graduate,Yes,5688,0.0,131.0,360.0,1.0,Rural,Y
LP001214,Male,Yes,0,Graduate,No,3079,3021.0,140.0,360.0,1.0,Urban,Y
LP001215,Male,Yes,3+,Not Graduate,No,3661,983.0,103.0,360.0,1.0,Semiurban,Y
LP001216,Male,Yes,0,Graduate,No,28,1800.0,139.0,360.0,1.0,Rural,N
LP001217,Male,Yes,0,Graduate,No,3775,1775.0,139.0,360.0,1.0,Semiurban,Y
LP001218,Male,Yes,2,Graduate,,4868,0.0,74.0,360.0,0.0,Semiurban,N
LP001219,Female,Yes,2,Graduate,No,4700,2383.0,127.0,360.0,,Semiurban,Y
LP001220,Male,Yes,0,Graduate,No,2623,0.0,60.0,360.0,0.0,Urban,N
LP001221,Male,Yes,2,Graduate,No,4016,1717.0,109.0,360.0,1.0,Semiurban,Y
LP001222,Male,No,0,Graduate,No,2661,2791.0,135.0,360.0,1.0,Semiurban,Y
LP001223,Male,Yes,0,Graduate,No,7518,1010.0,171.0,,1.0,Semiurban,Y
LP001224,Male,Yes,0,Graduate,No,6346,0.0,132.0,360.0,1.0,Semiurban,Y
LP001225,Male,Yes,0,Graduate,No,2832,0.0,168.0,360.0,1.0,Rural,N
LP001226,Male,Yes,,Not Graduate,Yes,5022,0.0,135.0,360.0,1.0,Urban,N
LP001227,Male,Yes,2,Graduate,No,6646,1695.0,205.0,360.0,1.0,Semiurban,Y
LP001228,Male,,,Graduate,No,5030,0.0,161.0,480.0,1.0,Semiurban,Y
LP001229,Male,No,0,Graduate,Yes,6018,0.0,192.0,360.0,1.0,Rural,Y
LP001230,Male,Yes,1,Graduate,No,2613,2054.0,110.0,360.0,1.0,Semiurban,Y
LP001231,Male,Yes,0,Graduate,,4082,0.0,36.0,180.0,1.0,Rural,Y
LP001232,Male,No,0,Not Graduate,No,3298,2598.0,112.0,,1.0,Rural,Y
LP001233,Female,No,0,Graduate,No,7849,0.0,277.0,360.0,1.0,Semiurban,Y
LP001234,Male,Yes,1,Graduate,No,3558,1779.0,135.0,360.0,1.0,Semiurban,Y
LP001235,Male,Yes,1,Graduate,No,5210,1260.0,173.0,360.0,1.0,Rural,Y
LP001236,Male,Yes,0,Graduate,,5355,0.0,257.0,360.0,,Urban,N
LP001237,Female,No,0,Graduate,Yes,3256,0.0,131.0,360.0,,Urban,Y
LP001238,Female,No,1,Graduate,No,4306,0.0,106.0,360.0,1.0,Rural,Y
LP001239,Male,Yes,1,Graduate,No,3350,0.0,90.0,360.0,1.0,Semiurban,Y
LP001240,Male,Yes,2,Graduate,No,5745,5000.0,119.0,360.0,1.0,Rural,Y
LP001241,Male,Yes,1,Not Graduate,No,2779,1983.0,146.0,180.0,1.0,Urban,N
LP001242,Male,No,0,Graduate,No,2521,5701.0,157.0,60.0,1.0,Urban,Y
LP001243,Male,Yes,2,Graduate,Yes,6559,1300.0,109.0,360.0,1.0,Rural,Y
LP001244,Male,Yes,0,Not Graduate,No,3535,4417.0,131.0,360.0,1.0,Semiurban,Y
LP001245,Male,No,0,Graduate,Yes,6185,4333.0,114.0,180.0,1.0,Urban,N
LP001246,Male,Yes,2,Graduate,No,9579,0.0,121.0,360.0,1.0,Urban,Y
LP001247,Male,Yes,1,Not Graduate,No,6510,0.0,138.0,180.0,1.0,Urban,Y
LP001248,Male,Yes,1,Graduate,No,3381,1843.0,114.0,480.0,1.0,Semiurban,Y
LP001249,Male,Yes,0,Graduate,No,2087,1868.0,92.0,360.0,1.0,Urban,Y
LP001250,Male,Yes,0,Not Graduate,No,1960,3890.0,198.0,360.0,0.0,Semiurban,N
LP001251,Female,No,2,Graduate,No,3449,0.0,147.0,360.0,1.0,Urban,N
LP001252,Male,No,0,Not Graduate,Yes,2746,2167.0,111.0,360.0,1.0,Rural,Y
LP001253,Male,Yes,1,Not Graduate,No,2737,7101.0,283.0,180.0,1.0,Semiurban,Y
LP001254,Male,No,0,Graduate,Yes,16228,0.0,183.0,360.0,0.0,Urban,N
LP001255,Female,No,3+,Graduate,No,2668,0.0,257.0,360.0,1.0,Rural,Y
LP001256,Male,No,0,Not Graduate,No,6083,0.0,116.0,360.0,0.0,Rural,N
LP001257,Male,Yes,3+,Graduate,No,5747,0.0,98.0,360.0,1.0,Urban,N
LP001258,Male,Yes,0,Graduate,No,14544,2100.0,313.0,360.0,1.0,Rural,N
LP001259,Male,Yes,3+,Not Graduate,No,5182,0.0,133.0,360.0,,Semiurban,N
LP001260,Male,Yes,1,Graduate,No,6047,4250.0,325.0,360.0,,Urban,Y
LP001261,Male,No,0,Graduate,No,2474,2209.0,125.0,360.0,1.0,Semiurban,Y
LP001262,Female,No,1,Graduate,No,3203,0.0,152.0,36.0,1.0,Semiurban,N
LP001263,Female,No,0,Graduate,No,7021,0.0,111.0,360.0,1.0,Rural,Y
LP001264,Male,No,0,Graduate,Yes,4722,0.0,138.0,360.0,1.0,Semiurban,Y
LP001265,Male,No,0,Graduate,No,4174,3447.0,147.0,360.0,1.0,Rural,Y
LP001266,Male,Yes,2,Graduate,No,4554,1387.0,152.0,360.0,1.0,Semiurban,Y
LP001267,Male,Yes,3+,Graduate,No,3905,1811.0,159.0,360.0,0.0,Urban,Y
LP001268,Female,No,0,Graduate,,3472,0.0,128.0,360.0,1.0,Rural,N
LP001269,Female,No,1,Graduate,No,2438,1560.0,88.0,360.0,1.0,Urban,Y
LP001270,Female,No,0,Graduate,No,3281,0.0,33.0,360.0,1.0,Urban,Y
LP001271,Male,Yes,0,Graduate,No,11253,0.0,136.0,360.0,1.0,Urban,Y
LP001272,Male,No,0,Graduate,No,3159,1857.0,136.0,360.0,1.0,Rural,Y
LP001273,Male,Yes,0,Graduate,No,2862,2223.0,158.0,360.0,1.0,Semiurban,Y
LP001274,Male,Yes,2,Graduate,No,3937,0.0,90.0,360.0,1.0,Semiurban,Y
LP001275,Male,Yes,1,Graduate,No,2789,1842.0,114.0,360.0,1.0,Semiurban,Y
LP001276,Male,Yes,0,Graduate,No,4101,3274.0,211.0,360.0,1.0,Semiurban,Y
LP001277,Male,Yes,0,Graduate,No,3177,1300.0,84.0,360.0,1.0,Urban,Y
LP001278,Male,Yes,0,Graduate,No,15049,0.0,435.0,360.0,1.0,Semiurban,Y
LP001279,Female,Yes,0,Not Graduate,No,4017,0.0,131.0,360.0,,Rural,Y
LP001280,Male,No,1,Not Graduate,Yes,4008,2426.0,152.0,360.0,0.0,Urban,N
LP001281,Male,Yes,0,Graduate,No,4253,800.0,115.0,360.0,1.0,Semiurban,Y
LP001282,Male,Yes,2,Graduate,No,2766,985.7999878,77.0,180.0,1.0,Urban,Y
LP001283,Female,No,0,Graduate,No,1749,1666.0,51.0,360.0,1.0,Urban,Y
LP001284,Male,Yes,0,Graduate,No,20524,0.0,,360.0,1.0,Rural,N
LP001285,Male,No,0,Graduate,No,2955,3053.0,85.0,360.0,1.0,Rural,Y
LP001286,Female,No,0,Graduate,Yes,2353,1717.0,97.0,300.0,1.0,Semiurban,N
LP001287,Male,Yes,0,Graduate,No,3269,2000.0,124.0,360.0,1.0,Rural,Y
LP001288,Female,No,0,Graduate,No,3695,0.0,106.0,360.0,1.0,Semiurban,Y
LP001289,Male,No,0,Graduate,No,9449,0.0,186.0,360.0,1.0,Rural,Y
LP001290,Male,Yes,0,Graduate,No,3507,2416.0,138.0,360.0,1.0,Rural,Y
